scenario,type,underweight_Mio,obesity_Mio,premMort_MioYLL,croplandBII_pct,hotspotBII_pct,cropareaDiv_Shannon,nitrogen_MtN,waterViol_km3,afoluGHG_GtCO2eq,globalWarm_degC,foodExpend_USDpp,poverty_Mio,agLabor_Mio,agWages_idx2010,bioeconomy_BnUSD,prodFactor_BnUSD
BASE_SSP2_2050,baseline,640,1461,335,69.6,90.89,2.03,297,209,10.4,2.05,517,852,454,4.01,750,4836
Diets,package,0,730,153,70.24,91.26,2.29,221,108,2.3,1.95,295,793,321,NA,735,3204
LowProcessed,diet,NA,NA,294,69.6,90.87,2.02,297,178,10.7,2.05,479,843,455,NA,751,4488
HighLegumes,diet,NA,NA,314,69.44,90.76,2.1,294,197,10.9,2.05,527,855,457,NA,742,4912
LowMonogastrics,diet,NA,NA,328,69.98,91.11,2.09,273,169,9.1,2.03,427,830,370,NA,758,4165
LowRuminants,diet,NA,NA,327,70.07,91.24,2.05,258,177,4,1.96,411,812,373,NA,758,4176
HighVegFruitsNuts,diet,NA,NA,306,69.48,90.82,2.09,301,202,10.6,2.05,546,863,516,NA,755,5108
HalfOverweight,diet,640,730,301,69.67,90.98,2.04,291,184,9.8,2.04,497,846,442,NA,742,4671
NoUnderweight,diet,0,1461,314,69.59,90.88,2.02,300,198,10.4,2.05,524,855,463,NA,753,4894
LowFoodWaste,diet,NA,NA,335,69.81,91.03,2.06,279,166,8.9,2.03,463,837,418,NA,729,4414
Livelihoods,package,NA,NA,NA,69.84,91.14,2.06,294,202,8.7,2.03,646,855,404,8.96,749,4775
LibTrade,livelihoods,NA,NA,NA,69.76,91.02,2.07,295,193,9.1,2.04,499,836,423,NA,749,4729
MinWage,livelihoods,NA,NA,NA,69.75,90.98,2.07,297,212,10.2,2.04,662,861,432,8.96,750,4831
CapitalSubst,livelihoods,NA,NA,NA,69.61,90.9,2.02,297,202,10.3,2.05,522,852,474,NA,750,4916
Biosphere,package,NA,NA,NA,70.2,91.99,2.02,300,0,6.4,2.01,557,883,453,NA,749,4886
REDD+,biosphere,NA,NA,NA,70.05,91.46,2.01,299,213,6.5,2.01,553,881,453,NA,750,4907
LandConservation,biosphere,NA,NA,NA,69.75,91.5,2.02,297,201,10.5,2.05,522,854,454,NA,750,4857
PeatlandRewetting,biosphere,NA,NA,NA,69.43,90.94,2.02,299,195,8.7,2.03,520,851,454,NA,750,4876
WaterConservation,biosphere,NA,NA,NA,69.58,90.89,2.03,297,0,10.5,2.05,518,851,454,NA,749,4834
BiodivOffset,biosphere,NA,NA,NA,70.18,91.45,2.04,299,204,8.6,2.02,523,858,453,NA,750,4842
Agriculture,package,NA,NA,NA,71.01,91.44,2.11,214,332,2.6,1.95,653,906,692,NA,751,5935
NitrogenEfficiency,agriculture,NA,NA,NA,69.58,90.83,2.04,214,197,9.7,2.04,547,860,520,NA,750,5070
CropRotations,agriculture,NA,NA,NA,69.43,90.7,2.21,296,230,11.5,2.06,516,853,455,NA,751,4835
LandscapeHabitats,agriculture,NA,NA,NA,70.81,90.94,2.01,298,201,10.5,2.05,517,851,454,NA,750,4859
RiceMitigation,agriculture,NA,NA,NA,69.7,90.98,2.03,297,215,10,2.04,517,851,465,NA,749,4866
LivestockManagement,agriculture,NA,NA,NA,69.21,90.82,1.97,298,207,8.3,2.01,580,872,595,NA,750,5459
ManureManagement,agriculture,NA,NA,NA,69.66,90.93,2.04,291,197,10,2.04,529,855,483,NA,750,4953
SoilCarbon,agriculture,NA,NA,NA,69.61,91.53,1.99,299,216,6.3,2.01,534,863,453,NA,749,4880
FST_SSP2,pathway,0,730,153,71.72,92.59,2.4,169,0,-5,1.85,493,832,362,8.96,737,3704
CrossSector,package,530,1610,211,69.48,90.55,2.06,275,239,10.2,1.76,515,243,337,5.91,1034,5260
Population,cross-sector,606,1446,358,69.67,90.95,2.05,288,196,8.7,NA,521,855,426,NA,738,4607
HumanDevelop,cross-sector,556,1633,197,69.39,90.58,2.06,273,177,12.8,NA,520,246,327,5.91,749,5016
EnergyTrans,cross-sector,NA,NA,NA,69.61,90.78,1.98,313,250,11.1,1.74,519,849,511,NA,995,5310
Bioplastics,cross-sector,NA,NA,NA,69.57,90.86,2.02,301,212,10.8,NA,518,851,463,NA,802,4934
TimberCities,cross-sector,NA,NA,NA,69.52,90.85,2.03,297,203,10,NA,517,851,454,NA,814,4920
FST_SDP,pathway,0,805,93,71.59,92.5,2.3,163,0,-6.2,1.52,408,226,262,9.54,1029,4080
